"role","name","url","scholar_url","scholar_id"
"Academic staff","Salomi S. Asaridou","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/salomi-s-asaridou/","https://scholar.google.co.uk/citations?user=HBEjsgoAAAAJ&hl=en","HBEjsgoAAAAJ"
"Academic staff","Christos Bechlivanidis","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/christos-bechlivanidis/","","4Nz6GPMAAAAJ"
"Academic staff","Daniel Bendor","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/daniel-bendor/","http://scholar.google.co.uk/citations?user=cWlY7gwAAAAJ&hl=en","cWlY7gwAAAAJ"
"Academic staff","Velia Cardin","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/velia-cardin/","","sSC_RJ4AAAAJ"
"Academic staff","Tessa Dekker","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/tessa-dekker/","https://scholar.google.co.uk/citations?user=BKhcjGcAAAAJ&hl=en","BKhcjGcAAAAJ"
"Academic staff","Joseph Devlin","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/joseph-devlin/","http://scholar.google.co.uk/citations?user=kCgH6AgAAAAJ&hl=en","kCgH6AgAAAAJ"
"Academic staff","Stephen Dewitt","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/stephen-dewitt/","",NA
"Academic staff","Katie Fisher","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/katie-fisher/","https://scholar.google.co.uk/citations?hl=en&user=Zy16cIUAAAAJ","Zy16cIUAAAAJ"
"Academic staff","Steve Fleming","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/steve-fleming/","https://scholar.google.co.uk/citations?user=1D1xy4QAAAAJ&hl=en","1D1xy4QAAAAJ"
"Academic staff","John Greenwood","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/john-greenwood/","http://scholar.google.com/citations?user=tqUniNAAAAAJ&hl=en","tqUniNAAAAAJ"
"Academic staff","Simmy Grover","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/simmy-grover/","https://scholar.google.co.uk/citations?user=ofvyg2QAAAAJ&hl=en","ofvyg2QAAAAJ"
"Academic staff","Ana Guinote","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/ana-guinote/","","tbk3KoIAAAAJ"
"Academic staff","Lasana Harris","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/lasana-harris/","","TYpVIgUAAAAJ"
"Academic staff","Adam Harris","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/adam-harris/","https://scholar.google.co.uk/citations?hl=en&user=i2L5E-EAAAAJ&view_op=list_works&gmla=AJsN-F70v5UntUiVXFIeC8lrciufxZ4Kex9a33ZpafgkpB4ti32SS_XxB61qLqoDU41TUbdRI-bwYB5OIrIms3Nw7YTrC_BbG5m1KTtlRGdA_3qGcvpjI8w","i2L5E-EAAAAJ"
"Academic staff","Nigel Harvey","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/nigel-harvey/","",NA
"Academic staff","Peter Howell","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/peter-howell/","http://scholar.google.co.uk/citations?hl=en&user=vYJePcMAAAAJ&view_op=list_works&gmla=AJsN-F4CQDlVdaXLckYce5BS09T4o0B24RqVL05E8gjflDJx_2-BAaVZlTG_7aCxiumxMcUg7ywoIqSqUZcIysmsaW-vNW-hToDPbg9cqZxcN6KKhIxQlVHCMdBP2irZZHIqyxHadjhr","vYJePcMAAAAJ"
